time, lat [deg], lng [deg], alt [m]
2015-11-14 06:48:55,39.657057,-77.934139,171.907200
2015-11-14 06:51:18,39.657062,-77.934129,173.736000
2015-11-14 06:53:46,39.657046,-77.934129,185.928000
2015-11-14 06:55:00,39.657088,-77.934129,171.907200
2015-11-14 06:56:14,39.657094,-77.934129,173.736000
2015-11-14 06:57:28,39.657057,-77.934118,177.698400
2015-11-14 06:59:56,39.657067,-77.934139,177.698400
2015-11-14 07:02:24,39.657052,-77.934097,181.965600
2015-11-14 07:03:38,39.657067,-77.934108,179.832000
2015-11-14 07:04:52,39.657067,-77.934129,168.859200
2015-11-14 07:06:06,39.657067,-77.934160,171.907200
2015-11-14 07:07:21,39.657067,-77.934118,175.869600
2015-11-14 07:08:34,39.657067,-77.934129,176.784000
2015-11-14 07:09:49,39.657094,-77.934129,179.832000
2015-11-14 07:11:02,39.657094,-77.934139,178.917600
2015-11-14 07:13:30,39.657078,-77.934150,176.784000
2015-11-14 07:14:44,39.657088,-77.934087,170.992800
2015-11-14 07:17:12,39.657067,-77.934171,174.955200
2015-11-14 07:18:26,39.657088,-77.934129,171.907200
2015-11-14 07:19:40,39.657088,-77.934118,176.784000
2015-11-14 07:20:54,39.657094,-77.934129,178.917600
2015-11-14 07:22:08,39.657025,-77.934129,173.736000
2015-11-14 07:23:22,39.657094,-77.934129,176.784000
2015-11-14 07:24:37,39.657083,-77.934076,175.869600
2015-11-14 07:28:18,39.657088,-77.934150,176.784000
2015-11-14 07:29:32,39.657083,-77.934129,172.821600
2015-11-14 07:32:00,39.657052,-77.934160,176.784000
2015-11-14 07:33:14,39.657104,-77.934171,178.917600
2015-11-14 07:34:28,39.657083,-77.934139,177.698400
2015-11-14 07:35:42,39.657009,-77.934150,178.917600
2015-11-14 07:36:57,39.657062,-77.934171,177.698400
2015-11-14 07:39:24,39.657073,-77.934139,175.869600
2015-11-14 07:40:38,39.657078,-77.934139,189.890400
2015-11-14 07:41:52,39.657099,-77.934160,172.821600
2015-11-14 07:43:06,39.657067,-77.934160,181.965600
2015-11-14 07:45:34,39.657020,-77.934171,192.938400
2015-11-14 07:46:48,39.657120,-77.934118,174.955200
2015-11-14 07:48:02,39.657104,-77.934192,185.928000
2015-11-14 07:51:44,39.657046,-77.934139,179.832000
2015-11-14 07:54:11,39.654059,-77.927671,651.967200
2015-11-14 07:55:25,39.647317,-77.916855,1009.802400
2015-11-14 07:57:53,39.634291,-77.895675,1893.722400
2015-11-14 07:57:55,39.634291,-77.895675,1893.722400
2015-11-14 07:59:07,39.625654,-77.883977,2229.916800
2015-11-14 08:00:21,39.613741,-77.872322,2511.856800
2015-11-14 08:01:30,39.604873,-77.867040,2922.727200
2015-11-14 08:02:44,39.597649,-77.864793,3387.852000
2015-11-14 08:03:58,39.591007,-77.859679,3853.891200
2015-11-14 08:05:12,39.583331,-77.852853,4299.813600
2015-11-14 08:05:51,39.591007,-77.859679,3853.891200
2015-11-14 08:06:26,39.575372,-77.845513,4682.642400
2015-11-14 08:07:40,39.568772,-77.839286,5048.707200
2015-11-14 08:08:54,39.562739,-77.832377,5419.648800
2015-11-14 08:09:21,39.568772,-77.839286,5048.707200
2015-11-14 08:10:08,39.556623,-77.823577,5821.680000
2015-11-14 08:10:42,39.562739,-77.832377,5419.648800
2015-11-14 08:11:22,39.552312,-77.812405,6268.821600
2015-11-14 08:11:35,39.556623,-77.823577,5821.680000
2015-11-14 08:12:36,39.547487,-77.798554,6746.748000
2015-11-14 08:14:00,39.547487,-77.798554,6746.748000
2015-11-14 08:15:04,39.536855,-77.771095,7747.711200
2015-11-14 08:16:18,39.531053,-77.754398,8259.775200
2015-11-14 08:17:19,39.547487,-77.798554,6746.748000
2015-11-14 08:17:32,39.526559,-77.736138,8775.801600
2015-11-14 08:17:33,39.526559,-77.736138,8775.801600
2015-11-14 08:17:34,39.531053,-77.754398,8259.775200
2015-11-14 08:18:36,39.526559,-77.736138,8775.801600
2015-11-14 08:18:46,39.523582,-77.715157,9273.844800
2015-11-14 08:20:00,39.521970,-77.689094,9736.836000
2015-11-14 08:20:48,39.526559,-77.736138,8775.801600
2015-11-14 08:20:49,39.523582,-77.715157,9273.844800
2015-11-14 08:20:50,39.521970,-77.689094,9736.836000
2015-11-14 08:21:14,39.519865,-77.660238,10192.816800
2015-11-14 08:21:20,39.526559,-77.736138,8775.801600
2015-11-14 08:22:28,39.517124,-77.630070,10652.760000
2015-11-14 08:22:54,39.519865,-77.660238,10192.816800
2015-11-14 08:23:42,39.512084,-77.601119,11123.676000
2015-11-14 08:24:30,39.512084,-77.601119,11123.676000
2015-11-14 08:24:56,39.514310,-77.573744,11592.763200
2015-11-14 08:26:10,39.516300,-77.540194,12041.733600
2015-11-14 08:26:45,39.519865,-77.660238,10192.816800
2015-11-14 08:27:06,39.514310,-77.573744,11592.763200
2015-11-14 08:27:07,39.512084,-77.601119,11123.676000
2015-11-14 08:27:24,39.516862,-77.507390,12502.591200
2015-11-14 08:27:34,39.516300,-77.540194,12041.733600
2015-11-14 08:28:01,39.512084,-77.601119,11123.676000
2015-11-14 08:28:07,39.516862,-77.507390,12502.591200
2015-11-14 08:28:38,39.516919,-77.477305,13015.569600
2015-11-14 08:28:51,39.514310,-77.573744,11592.763200
2015-11-14 08:29:39,39.516862,-77.507390,12502.591200
2015-11-14 08:29:52,39.519114,-77.447588,13449.604800
2015-11-14 08:30:20,39.516919,-77.477305,13015.569600
2015-11-14 08:30:43,39.519865,-77.660238,10192.816800
2015-11-14 08:30:49,39.519114,-77.447588,13449.604800
2015-11-14 08:30:50,39.516300,-77.540194,12041.733600
2015-11-14 08:31:06,39.520285,-77.414290,13897.660800
2015-11-14 08:31:40,39.516862,-77.507390,12502.591200
2015-11-14 08:32:20,39.521886,-77.381024,14259.763200
2015-11-14 08:32:24,39.520285,-77.414290,13897.660800
2015-11-14 08:33:16,39.521886,-77.381024,14259.763200
2015-11-14 08:33:34,39.524800,-77.346046,14620.646400
2015-11-14 08:33:36,39.520285,-77.414290,13897.660800
2015-11-14 08:34:00,39.521886,-77.381024,14259.763200
2015-11-14 08:34:48,39.525330,-77.313861,15121.737600
2015-11-14 08:34:53,39.521886,-77.381024,14259.763200
2015-11-14 08:34:59,39.524800,-77.346046,14620.646400
2015-11-14 08:36:01,39.525330,-77.313861,15121.737600
2015-11-14 08:36:02,39.530061,-77.288177,15642.640800
2015-11-14 08:36:05,39.520285,-77.414290,13897.660800
2015-11-14 08:37:16,39.534487,-77.263101,16066.617600
2015-11-14 08:37:20,39.521886,-77.381024,14259.763200
2015-11-14 08:38:30,39.535616,-77.239023,16539.667200
2015-11-14 08:39:44,39.537201,-77.221424,17058.741600
